subject_id	subject_no	subject_name	subject_load	subject_type_id	subject_category_id
	MEE92211-P	????? ????? ??????? ?????? ?????? - ????	1	3	2
	MEE02206	????? ??????	2	1	2
	BUS02245-T	????? ??????? II - ????	1	2	1
	BUS02245-P	????? ??????? II - ????	1	2	2
					
	ACD03001	????? ??????????	3	2	1
	ACD03000	????? ???????	3	2	1
	MEE01201	????? ???????? ???????	1	3	1
	MEE01104	???? ?????	1	1	2
	EEE11160	???? ???????	1	3	2
	EEE13107-T	????? ??????? ?????????? - ????	2	3	1
	EEE13107-P	????? ??????? ?????????? - ????	1	3	2
	COMP0315-T	???????? ??????? - ????	1	2	1
	COMP0315-P	???????? ??????? - ????	2	2	2
					
	ACD03108	???????	3	1	1
	ACD03002	?????? ?? ????? ?????? ???????? 	3	2	1
	ACD03111-T	?????? - ????	2	3	1
	ACD03111-P	?????? - ????	1	3	2
	EEE13101	?????????? I	3	1	1
	EEE43100-T	????? ??????? - ????	2	3	1
	EEE43100-P	????? ??????? - ????	1	3	2
	EEE13200-T	????? ????? ?????? - ????	2	3	1
	EEE13200-P	????? ????? ?????? - ????	1	3	2
					
	EEE13102-T	?????????? II - ????	2	3	1
	EEE13102-P	?????????? II - ????	1	3	2
	EEE83100-T	?????? ??????????  - ????	2	1	1
	EEE83100-P	?????? ??????????  - ????	1	1	2
	EEE23201-T	?????? ??????????? ???????????? - ????	2	3	1
	EEE23201-P	?????? ??????????? ???????????? - ????	1	3	2
	EEE02207	????? ?????? I	2	3	2
	EEE44200-T	????? ???????? ?????????? ??????? - ????	2	3	1
	EEE44200-P	????? ???????? ?????????? ??????? - ????	2	3	2
	EEE11200	??????? ?????????? ??????? ???????	1	3	2
	ACD03120	????? ?????	3	2	1
	BUS01144	????? ??????? I	1	2	2
					
	EEE63202-T	?????? ??????? ??????? PCL - ????	2	3	1
	EEE63202-P	?????? ??????? ??????? PCL - ????	1	3	2
	EEE62201	????????? ??????	2	3	1
	EEE02202	????? ??????	2	3	2
	EEE02208	????? ?????? II	2	3	2
	EEE13209-T	?????????? ?????? - ????	2	3	1
	EEE13209-P	?????????? ?????? - ????	1	3	2
	EEE63204-T	????? ??????? ??????? - ????	2	3	1
	EEE63204-P	????? ??????? ??????? - ????	1	3	2
	BUS02245-T	????? ??????? II - ????	1	2	1
	BUS02245-P	????? ??????? II - ????	1	2	2
					
	ACD03001	????? ??????????	3	2	1
	ACD03000	????? ???????	3	2	1
	EEE13100-T	????? ???????? - ????	2	3	1
	EEE13100-P	????? ???????? - ????	1	3	2
	ACD03111-T	?????? - ????	2	3	1
